DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:36:4C:60:FB:7A,-57,2014-05-31 09:33:42.340,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C4:02:3E:D6:FB:17,-60,2014-05-31 09:33:42.445,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,CB:42:69:CE:8C:14,-62,2014-05-31 09:33:42.408,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,E8:66:CA:46:29:D9,-66,2014-05-31 09:33:42.260,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-70,2014-05-31 09:33:42.187,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Force,C2:84:8D:3F:ED:15,-70,2014-05-31 09:33:40.247,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-83,2014-05-31 09:33:42.049,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-86,2014-05-31 09:33:22.272,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-91,2014-05-31 09:33:42.301,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-96,2014-05-31 09:33:40.454,false,,0,0,0
