DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:36:4C:60:FB:7A,-79,2014-05-30 13:15:39.996,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C4:02:3E:D6:FB:17,-80,2014-05-30 13:15:40.052,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:80:69:E4:96:80,-86,2014-05-30 13:15:40.169,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Unknown,14:99:E2:1E:DC:5D,-87,2014-05-30 13:11:06.643,false,,0,0,0
Kontakt,CB:42:69:CE:8C:14,-88,2014-05-30 13:15:40.116,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,E8:66:CA:46:29:D9,-89,2014-05-30 13:15:39.674,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Unknown,9C:20:7B:AD:7D:DC,-95,2014-05-30 13:10:33.174,false,,0,0,0
Unknown,5A:41:F1:AB:28:E6,-95,2014-05-30 13:15:38.137,false,,0,0,0
Unknown,5C:F9:38:DA:DD:25,-96,2014-05-30 13:10:16.929,false,,0,0,0
Unknown,E8:8D:28:52:6C:F5,-97,2014-05-30 13:11:04.181,false,,0,0,0
